Conference,Year,No. of valid citations,No. of invalid citations
A,1983,322,74
A,1988,408,80
A,1992,528,59
A,1994,464,32
A,1997,846,62
A,2000,1362,119
D,2008,2332,46
D,2009,3800,111
D,2010,3089,116
D,2011,4021,145
D,2012,4116,150
D,2013,5715,159
D,2014,6315,204
D,2015,8233,239
E,1983,307,33
E,1985,389,119
E,1987,509,58
E,1989,604,114
E,1991,615,103
E,1993,678,177
E,1995,619,35
E,1997,1304,46
E,1999,633,27
E,2003,1412,37
E,2006,1195,118
E,2009,2633,63
E,2012,2683,67
E,2014,3715,119
J,1979,479,590
J,1980,357,305
J,1981,383,409
J,1982,300,450
J,1983,321,126
J,1984,407,332
J,1985,420,443
J,1986,333,230
J,1987,411,149
J,1988,952,314
J,1989,474,160
J,1990,444,150
J,1991,724,259
J,1992,763,279
J,1993,807,291
J,1994,676,282
J,1995,826,174
J,1996,730,123
J,1997,1049,81
J,1998,1146,120
J,1999,653,87
J,2000,682,114
J,2001,725,111
J,2002,932,40
J,2003,759,36
J,2004,621,33
J,2005,705,68
J,2006,625,58
J,2007,757,73
J,2008,922,59
J,2009,984,77
J,2010,1326,75
J,2011,1304,89
J,2012,1308,74
J,2013,1571,113
J,2014,1754,106
J,2015,1022,57
K,2015,1356,55
N,2001,499,11
N,2003,1131,41
N,2004,1363,48
N,2006,1803,119
N,2007,2028,54
N,2009,2650,157
N,2010,3051,112
N,2012,2469,106
N,2013,3979,141
P,1979,153,21
P,1980,268,60
P,1981,248,162
P,1982,269,70
P,1983,365,52
P,1984,971,177
P,1985,444,129
P,1986,405,80
P,1987,455,70
P,1988,563,54
P,1989,616,26
P,1990,505,65
P,1991,680,81
P,1992,645,76
P,1993,630,43
P,1994,696,48
P,1995,825,56
P,1996,871,45
P,1997,1304,46
P,1998,3028,151
P,1999,1361,36
P,2000,1091,37
P,2001,1119,38
P,2002,990,13
P,2003,1504,45
P,2004,1902,104
P,2005,1961,75
P,2006,5195,251
P,2007,2839,126
P,2008,3572,203
P,2009,3968,76
P,2010,5979,172
P,2011,6556,272
P,2012,4628,167
P,2013,9447,249
P,2014,8519,258
P,2015,9484,249
Q,2013,1281,10
Q,2014,1636,25
Q,2015,437,4
S,2001,225,10
S,2007,952,61
S,2010,984,59
S,2012,1813,84
S,2013,2672,218
S,2014,2809,136
S,2015,3455,226
W,1990,460,55
W,1991,636,102
W,1993,725,96
W,1994,902,115
W,1995,185,147
W,1996,1148,74
W,1997,2979,373
W,1998,3127,335
W,1999,1669,169
W,2000,3676,280
W,2001,2272,151
W,2002,4220,218
W,2003,5530,296
W,2004,7378,375
W,2005,3472,199
W,2006,8362,549
W,2007,5086,344
W,2008,4960,314
W,2009,10805,690
W,2010,11768,756
W,2011,13278,739
W,2012,14250,795
W,2013,16916,904
W,2014,19055,976
W,2015,20105,1043
